Cuisines,Aggregate rating
"Continental, Kashmiri, Italian, North Indian, Moroccan",3.6
"Continental, Kerala",4.5
"Continental, Lebanese, Mexican",0
"Continental, Mediterranean, Italian, North Indian",4
"Continental, Mexican",4.6
"Continental, Mexican, American, Fast Food, Italian, Chinese",3.9
"Continental, Mexican, American, Italian, North Indian",3.7
"Continental, Mexican, Beverages, Desserts, North Indian, Chinese, Rajasthani",4
"Continental, Mexican, Burger, American, Pizza, Tex-Mex",4.1
"Continental, Mexican, Fast Food, Chinese",3.5
"Continental, Mexican, Fast Food, North Indian, Chinese",3.1
"Continental, Mexican, Italian",3.6
"Continental, Mexican, Mediterranean",3
"Continental, Mexican, North Indian, Chinese",3.7
"Continental, Middle Eastern, Asian",4.8
"Continental, Modern Indian, Asian",4
"Continental, North Indian",3.423076923
"Continental, North Indian, American, Italian, Mexican",4.3
"Continental, North Indian, Asian",3.54
"Continental, North Indian, Chinese",3.54
"Continental, North Indian, Chinese, Arabian, Thai",4.3
"Continental, North Indian, Chinese, Asian",4.1
"Continental, North Indian, Chinese, Cafe",3.5
"Continental, North Indian, Chinese, European, Asian",3.9
"Continental, North Indian, Chinese, Italian",4.2
"Continental, North Indian, Chinese, Italian, Finger Food",3.6
"Continental, North Indian, Chinese, Mediterranean",4.1
"Continental, North Indian, Chinese, Mughlai, Asian",3.8
"Continental, North Indian, European",3.7
"Continental, North Indian, European, Asian",4
"Continental, North Indian, European, Finger Food",4.2
"Continental, North Indian, Fast Food, Street Food, South Indian",0
"Continental, North Indian, Finger Food",3.4
"Continental, North Indian, Italian",3.666666667
"Continental, North Indian, Italian, Asian",3.85
"Continental, North Indian, Italian, Chinese",4.2
"Continental, North Indian, Italian, Seafood, Goan",3.5
"Continental, North Indian, Mexican",3.2
"Continental, North Indian, Mughlai, Burmese",4.3
"Continental, North Indian, Mughlai, Chinese",3.2
"Continental, North Indian, Mughlai, Italian",4.1
"Continental, North Indian, South Indian",1.9
"Continental, North Indian, South Indian, Italian",3.9
"Continental, North Indian, Thai, Chinese",4.3
"Continental, Seafood, Burger, South African, Finger Food, Grill",4
"Continental, Seafood, Chinese, North Indian, Biryani",3.6
"Continental, Seafood, Goan, Andhra, Kerala, Thai",4.2
"Continental, Seafood, North Indian",3.3
"Continental, Seafood, North Indian, Asian",3.6
"Continental, South African, Beverages, Desserts, Seafood, Grill, Ice Cream, International",4.5
"Continental, South Indian",3.8
"Continental, Tex-Mex",3.8
"Continental, Thai, Chinese, North Indian",3.2
"Cuban, Spanish",4.4
Cuisine Varies,0
Desserts,2.71509434
"Desserts, American",4
"Desserts, Bakery",3.272727273
"Desserts, Bakery, Fast Food",3.333333333
"Desserts, Bakery, Pizza, Burger, Continental",3.6
"Desserts, Bakery, Western",4.6
"Desserts, Bar Food",4.7
"Desserts, Beverages",2.864285714
"Desserts, Beverages, Juices",3.7
"Desserts, B�_rek",4.7
"Desserts, Cafe",4.266666667
"Desserts, Cafe, Mexican",4.7
"Desserts, Fast Food",3.216666667
"Desserts, Fast Food, Chinese",3.2
"Desserts, Fast Food, Ice Cream",4
"Desserts, Greek, Sandwich",4.3
"Desserts, Ice Cream",3.296153846
"Desserts, Ice Cream, Fast Food",1
"Desserts, Ice Cream, North Indian",3.5
"Desserts, Ice Cream, Pizza",0
"Desserts, Italian, Pizza",4.1
"Desserts, Latin American, Argentine",4.1
"Desserts, Middle Eastern, Turkish",3.9
"Desserts, Mithai",2.9
"Desserts, North Indian",0
"Desserts, North Indian, Chinese, South Indian, Fast Food, Street Food",3.9
"Desserts, Pizza, Ice Cream",3.5
"Desserts, Sandwich",4.05
"Desserts, Sandwich, Ice Cream",4.6
"Desserts, Sandwich, Southern",3.9
"Desserts, Street Food",2.185714286
"Desserts, Thai",3.7
Drinks Only,1.75
European,3.314285714
"European, American",4.1
"European, American, Street Food",1.85
"European, Arabian, Japanese, Bakery, Desserts",3.9
"European, Asian",4.3
"European, Asian, Indian",4.9
"European, Asian, Mediterranean, Modern Indian, Desserts, Finger Food",4.1
"European, Asian, North Indian, Italian, Continental, Pizza",4.1
"European, Cafe",4.2
"European, Cafe, Italian",4.3
"European, Chinese",3.8
"European, Chinese, North Indian, Italian",4.05
"European, Contemporary",4.9
"European, Continental",3.66
"European, Continental, North Indian",3.55
"European, Continental, Pizza",4.2
"European, Desserts",4.2
"European, German",4.9
"European, International, Tapas",4.4
"European, Italian",3.75
"European, Italian, Cafe",4.1
"European, Italian, Desserts",4.2
"European, Italian, Mediterranean",4.2
"European, Italian, North Indian",4.1
"European, Italian, Thai, Chinese, North Indian",3.2
"European, Lebanese, Mediterranean",4.2
"European, Mediterranean, Contemporary",4.2
"European, Mediterranean, North Indian",4.8
"European, North Indian",3.55
"European, North Indian, Chinese",2.2
"European, North Indian, Continental, Italian",3.7
"European, North Indian, Mediterranean, American",4.5
"European, Pizza",4.1
"European, South African",4.6
"European, South African, Steak",4.5
"European, Spanish",4.3
"European, Sushi, Italian",3
Fast Food,2.118361582
"Fast Food, American",3.75
"Fast Food, American, Burger",4
"Fast Food, American, Italian",3.65
"Fast Food, American, Salad, Healthy Food",3.4
"Fast Food, Bakery",2.566666667
"Fast Food, Beverages",2.327272727
"Fast Food, Beverages, Desserts",2.1
"Fast Food, Biryani",4
"Fast Food, Burger",3.403571429
"Fast Food, Cafe",3.2
"Fast Food, Cafe, Desserts, Bakery",3.9
"Fast Food, Cafe, Italian, North Indian, Chinese",3.2
"Fast Food, Chinese",2.112195122
"Fast Food, Chinese, Bakery",3.3
"Fast Food, Chinese, Bengali",3.3
"Fast Food, Chinese, Burger",0
"Fast Food, Chinese, Italian",3.1
"Fast Food, Chinese, Mithai, Street Food",2.9
"Fast Food, Chinese, North Indian",3.4
"Fast Food, Continental, Italian, Bakery",3.2
"Fast Food, Desserts",2.35
"Fast Food, Desserts, Beverages",0
"Fast Food, Desserts, Ice Cream, Beverages",2.6
"Fast Food, French",3
"Fast Food, Healthy Food",3.7
"Fast Food, Italian",2.4
"Fast Food, Italian, Beverages",3.5
"Fast Food, Italian, Chinese",4
"Fast Food, Italian, Desserts, Beverages",3.3
"Fast Food, Italian, North Indian, Chinese",3.3
"Fast Food, Italian, Pizza",3.525
"Fast Food, Maharashtrian, North Indian",2.7
"Fast Food, Mexican, Tex-Mex",3.6
"Fast Food, Mithai, Bakery",3.3
"Fast Food, Mughlai",0
"Fast Food, Mughlai, Armenian",0
"Fast Food, North Indian",2.373913043
"Fast Food, North Indian, Bakery",3.1
"Fast Food, North Indian, Beverages",1.9
"Fast Food, North Indian, Chinese",2.754545455
"Fast Food, North Indian, Chinese, Desserts",2.8
"Fast Food, North Indian, Chinese, Desserts, Ice Cream",2.5
"Fast Food, North Indian, Chinese, South Indian, Ice Cream",2.7
"Fast Food, North Indian, Desserts, Ice Cream",2.75
"Fast Food, North Indian, Mughlai",4
"Fast Food, North Indian, South Indian",0.733333333
"Fast Food, North Indian, South Indian, Chinese",2.7
"Fast Food, North Indian, South Indian, Chinese, Bakery",3.2
"Fast Food, North Indian, South Indian, Chinese, Street Food, Mithai",3.3
"Fast Food, Pizza",2.027272727
"Fast Food, Pizza, Burger",3.6
"Fast Food, Raw Meats",0
"Fast Food, Seafood",3.7
"Fast Food, South Indian",2.1
"Fast Food, South Indian, Chinese",3.2
"Fast Food, South Indian, Chinese, Mithai",2.9
"Fast Food, South Indian, Mithai",0
"Fast Food, Street Food",2.266666667
"Fast Food, Street Food, Beverages",1.65
"Fast Food, Street Food, Chinese",2.9
"Fast Food, Street Food, South Indian",4.4
"Fast Food, Tea",2.8
"Fast Food, Turkish",3.8
Filipino,4.5
"Filipino, Japanese, Asian",4.5
"Filipino, Mexican",4.85
Finger Food,2.875510204
"Finger Food, American, Continental, North Indian, Italian",4.6
"Finger Food, Continental, Italian",3.7
"Finger Food, Continental, Italian, Chinese",3.6
"Finger Food, Continental, North Indian",3.8
"Finger Food, Continental, North Indian, Chinese",3.1
"Finger Food, Continental, North Indian, Italian, Chinese",3.7
"Finger Food, European",3.2
"Finger Food, European, North Indian",3.5
"Finger Food, Italian",3.5
"Finger Food, Italian, Middle Eastern",3.7
"Finger Food, Italian, North Indian",4.1
"Finger Food, Italian, Spanish, Greek",4.1
"Finger Food, North Indian",3.7
"Finger Food, North Indian, Chinese",2.066666667
"Finger Food, North Indian, Continental, Chinese, Italian",3
"Finger Food, North Indian, Continental, Italian",3.7
"Finger Food, North Indian, Continental, Italian, Mediterranean",4
"Finger Food, North Indian, Italian",3.44
"Finger Food, North Indian, Italian, Continental, Thai, South Indian",4.5
"Finger Food, North Indian, Italian, European, Continental",4.1
French,4.185714286
"French, Brazilian, Beverages",4.6
"French, Continental, North Indian",3.5
"French, Italian",3.8
"French, Japanese, Desserts",4.8
"French, Kiwi",4.4
"French, Mediterranean, European",3.8
"French, Western",4.3
German,4.166666667
"German, Ice Cream",3.9
Goan,3.25
"Goan, American, Portuguese",3.8
"Goan, Chinese, Indian, North Indian",4.3
"Goan, Mangalorean, Continental, French",3.5
"Goan, North Indian, Chinese",3.8
"Goan, Seafood",3.7
"Goan, Seafood, Chinese",4.2
"Goan, Seafood, Chinese, North Indian",4.4
"Goan, Seafood, North Indian",4.5
"Gourmet Fast Food, Burger",4.3
Greek,4.7
"Greek, Italian",3.8
"Greek, Lebanese",4.2
"Greek, Mediterranean",3.6
"Greek, Mediterranean, Middle Eastern",0
"Greek, Mediterranean, Vegetarian",4.2
"Grill, Burger",4.1
"Grill, Steak, Burger, Sushi, Tapas",4.3
Gujarati,3.833333333
"Gujarati, Rajasthani",3.25
"Gujarati, Rajasthani, North Indian, Fast Food",3.8
"Gujarati, South Indian, North Indian",3.7
Hawaiian,4.5
"Hawaiian, Seafood",4.9
"Hawaiian, Seafood, Steak",4.333333333
Healthy Food,2.713333333
"Healthy Food, American, Burger, Salad",3.4
"Healthy Food, Beverages",2.65
"Healthy Food, Cafe, Desserts, Italian, Bakery",3.8
"Healthy Food, Continental",3.475
"Healthy Food, Continental, Italian",4
"Healthy Food, Continental, Juices, Beverages, Italian, Salad, Lebanese",4
"Healthy Food, Continental, Juices, Salad",3.55
"Healthy Food, Continental, North Indian, Salad",3.5
"Healthy Food, European, Continental, Salad",3.6
"Healthy Food, Fast Food",3.9
"Healthy Food, Fast Food, Salad",3.2
"Healthy Food, Italian, Juices, Beverages",3.7
"Healthy Food, Juices",1.65
"Healthy Food, Juices, Salad",3.7
"Healthy Food, Juices, Salad, Italian, Continental",4.05
"Healthy Food, North Indian",3.6
"Healthy Food, North Indian, Beverages",3.7
"Healthy Food, North Indian, Chinese, Continental",3.7
"Healthy Food, North Indian, Continental",4
"Healthy Food, North Indian, Italian, Salad",3.4
"Healthy Food, Salad",3.7
"Healthy Food, Salad, Italian, Continental",3.9
"Healthy Food, Seafood, Beverages, Belgian, Contemporary, Desserts, Finger Food, International",4.2
Hyderabadi,2.85
"Hyderabadi, Awadhi",4.1
"Hyderabadi, Biryani",0
"Hyderabadi, Biryani, North Indian",4.2
"Hyderabadi, Fast Food",3.9
"Hyderabadi, North Indian",3.3
"Hyderabadi, North Indian, Biryani",3.7
Ice Cream,2.090540541
"Ice Cream, Bakery",0
"Ice Cream, Beverages",2.466666667
"Ice Cream, Beverages, Fast Food",1.033333333
"Ice Cream, Desserts",2.774698795
"Ice Cream, Desserts, Beverages",2.833333333
"Ice Cream, Desserts, Cafe",3.1
"Ice Cream, Desserts, Continental",4.5
"Ice Cream, Desserts, Fast Food",3
"Ice Cream, Desserts, North Indian, Street Food",3.8
"Ice Cream, Fast Food, Beverages",3.6
"Ice Cream, Mithai, North Indian, Street Food",4.3
"Ice Cream, Street Food",2.9
Indian,4.25
"Indian, Asian",4.4
"Indian, Asian, Durban, International, Desserts",4.3
"Indian, Cafe",3.8
"Indian, Cafe, Curry",4.5
"Indian, Chinese, Continental",3.6
"Indian, Continental",4.8
"Indian, Curry",4.3
"Indian, Grill",3.7
"Indian, International, Vegetarian",3.8
"Indian, Mediterranean, Middle Eastern",4.6
"Indian, Middle Eastern",3.5
"Indian, Mughlai, South Indian, Biryani",4.1
"Indian, North Indian",4.733333333
"Indian, North Indian, Chinese",4.15
"Indian, North Indian, Curry, Cafe",4.7
"Indian, North Indian, Mughlai, Biryani",4
"Indian, North Indian, South Indian, Chinese",3.9
"Indian, North Indian, Street Food",4.4
"Indian, Pakistani",4
"Indian, Pakistani, Curry",4.7
"Indian, Persian",0
"Indian, Rajasthani",4.1
"Indian, Seafood",3.6
"Indian, South Indian",3.7
"Indian, Street Food",3.966666667
Indonesian,3.7
International,4.233333333
"International, Indian",4.5
"International, Italian, Southern",4.8
"International, Mediterranean, Sandwich",4.5
"International, Pizza",3.8
"International, Southern",4.1
"International, Southern, Vegetarian",4.2
"International, Tapas, Vegetarian",4.5
Irish,4.3
Italian,3.657407407
"Italian, American, Lebanese",4.3
"Italian, American, Pizza",4.8
"Italian, Bakery, Continental",4.9
"Italian, Burger, Charcoal Grill",3.8
"Italian, Cafe",4.2
"Italian, Cafe, Chinese, Continental",4.3
"Italian, Cafe, Desserts",3.7
"Italian, Chinese",0
"Italian, Chinese, Continental, Thai, Mediterranean, Lebanese",3.725
"Italian, Chinese, Fast Food, North Indian",3.7
"Italian, Chinese, Mexican, Thai, North Indian",4
"Italian, Chinese, North Indian",3.45
"Italian, Continental",3.683333333
"Italian, Continental, American",0
"Italian, Continental, Cafe",4.15
"Italian, Continental, Chinese",4.1
"Italian, Continental, Chinese, Mexican",4.1
"Italian, Continental, Chinese, North Indian",3.3
"Italian, Continental, European, Cafe",4.475
"Italian, Continental, Fast Food, Chinese",3.4
"Italian, Continental, Fast Food, North Indian",0
"Italian, Continental, Finger Food",3.3
"Italian, Continental, Goan",3.7
"Italian, Continental, Mexican, Cafe, Bakery",4.4
"Italian, Continental, Mexican, Japanese, American, British",3.9
"Italian, Continental, Mexican, Lebanese",4.1
"Italian, Continental, Mexican, North Indian",3.9
"Italian, Continental, North Indian",3.9
"Italian, Continental, North Indian, Cafe",4.2
"Italian, Continental, North Indian, Chinese",3
"Italian, Deli",4.9
"Italian, European",3.15
"Italian, European, Cafe",4
"Italian, Fast Food",2.5
"Italian, Fast Food, North Indian, Chinese",3.3
"Italian, Fast Food, South Indian",0
"Italian, French",4.1
"Italian, French, Bakery, Cafe",3.2
"Italian, French, Cafe",4.5
"Italian, French, European, Cafe",3.7
"Italian, Fusion, Cafe",3.8
"Italian, German, Continental",4
"Italian, Lebanese, Fast Food, Bakery",3.6
"Italian, Lebanese, Mexican",3.6
"Italian, Lebanese, North Indian",3.5
"Italian, Mediterranean",3.8
"Italian, Mediterranean, Continental, North Indian",4.1
"Italian, Mediterranean, Pizza",4.133333333
"Italian, Mediterranean, Sushi, Desserts",4.1
"Italian, Mexican",3.5
"Italian, Mexican, American, Mediterranean",4.2
"Italian, Mexican, Cafe",3.6
"Italian, Mexican, Chinese",3.8
"Italian, Mexican, Chinese, Thai, North Indian",4
"Italian, Mexican, Continental",4.4
"Italian, Mexican, Continental, North Indian, Finger Food",4
"Italian, Mexican, Lebanese, Continental",3.8
"Italian, Mexican, Mediterranean",4.2
"Italian, Mexican, Spanish, Thai, Vietnamese, Indonesian, American",4.3
"Italian, North Indian",1.7
"Italian, North Indian, Chinese",3.4
"Italian, North Indian, Chinese, Mughlai",3.75
"Italian, North Indian, Continental",3.433333333
"Italian, North Indian, Desserts",4
"Italian, North Indian, Desserts, Continental",4.1
"Italian, North Indian, South Indian",3.7
"Italian, Pizza",3.6375
"Italian, Pizza, Bakery",2.6625
"Italian, Pizza, Beverages, Desserts, Grill, Seafood",4.4
"Italian, Pizza, Cafe",3.8
"Italian, Pizza, Fast Food",2.875
"Italian, Pizza, Lebanese",3.3
"Italian, Pizza, Sandwich",4.22
"Italian, Pizza, Seafood",3.7
"Italian, Pizza, Vegetarian",3.7
"Italian, Seafood, Mediterranean, Desserts, Cafe",4.3
"Italian, Seafood, Vegetarian",4.4
"Italian, Tex-Mex, Continental, North Indian",3.9
"Italian, World Cuisine",3.7
Japanese,3.535294118
"Japanese, American, North Indian, Fast Food",3.5
"Japanese, Asian",3.85
"Japanese, Asian, Seafood, Sushi",4
"Japanese, Chinese",3.4
"Japanese, Chinese, Asian, Malaysian, Thai, Vietnamese",3.15
"Japanese, Chinese, Asian, Thai",3.7
"Japanese, Chinese, Malaysian, Thai, Vietnamese",3.3
"Japanese, Chinese, Thai",3.7
"Japanese, Chinese, Thai, Malaysian, Burmese, Asian",4.1
"Japanese, French",3.1
"Japanese, Korean",4.1
"Japanese, Seafood, Sushi",4.2
"Japanese, Steak",3.9
"Japanese, Steak, Sushi",3.725
"Japanese, Sushi",4.044444444
"Japanese, Sushi, Asian",3.9
"Japanese, Sushi, Ramen",4.4
"Japanese, Sushi, Teriyaki",4.1
"Japanese, Sushi, Thai",3.8
"Japanese, Thai, Chinese",3
"Japanese, Thai, Italian, Asian",3.65
"Japanese, Thai, Sushi",3.9
"Japanese, Tibetan, Vietnamese, Korean",3.8
Juices,0.8
"Juices, Beverages",3.5
"Juices, Beverages, Fast Food",3
"Juices, Beverages, Healthy Food",4.3
"Juices, Desserts",4
"Juices, Fast Food",0
"Juices, Healthy Food",4.35
Kashmiri,2.5
"Kashmiri, Chinese",3.1
"Kashmiri, Chinese, Mughlai",3.3
"Kashmiri, Mughlai",4.2
"Kashmiri, North Indian",2.9
"Kashmiri, North Indian, Mughlai, South Indian, Maharashtrian, Gujarati",4.4
Kebab,4.55
"Kebab, Desserts, Turkish Pizza",4.3
"Kebab, Izgara",4.4
"Kebab, Turkish Pizza",4.325
"Kebab, Turkish Pizza, D�_ner",4.4
Kerala,2.9
"Kerala, Biryani",3.75
"Kerala, Fast Food",3.7
"Kerala, Indian, Chinese, Bakery",4
"Kerala, South Indian",2.266666667
"Kerala, South Indian, Chinese, Biryani",3.5
"Kerala, South Indian, Continental, North Indian, Seafood, Chinese",4.3
"Kiwi, European",4.2
Korean,3.716666667
"Korean, Beverages, Desserts",3.9
"Korean, Chinese",3
"Korean, Japanese, Chinese, Asian",3.6
Latin American,4.3
"Latin American, Italian",4
"Latin American, Mexican",3.2
"Latin American, Mexican, Southwestern",4.4
"Latin American, Steak",4.1
Lebanese,3.522222222
"Lebanese, Arabian",3.766666667
"Lebanese, Arabian, Middle Eastern",4
"Lebanese, Arabian, Moroccan",1.5
"Lebanese, Chinese",3.2
"Lebanese, Chinese, Fast Food",2.4
"Lebanese, Italian",4.3
"Lebanese, Mediterranean, Arabian",3.5
"Lebanese, Mediterranean, Middle Eastern, Arabian",3.866666667
"Lebanese, North Indian",3.4
"Lebanese, North Indian, Fast Food",0
Lucknowi,2.4
"Lucknowi, Biryani",3.1
"Lucknowi, Mughlai",2.2
"Lucknowi, Mughlai, North Indian",0
Maharashtrian,3.533333333
Malaysian,4.2
"Malaysian, Indonesian",4.4
"Malaysian, North Indian, Sri Lankan",3.5
"Malaysian, Thai",3.6
"Malaysian, Thai, Kerala, Vietnamese, Sri Lankan",4
"Malwani, North Indian, Chinese, Seafood",3.5
Mediterranean,3.025
"Mediterranean, American, Asian",3.65
"Mediterranean, Asian, Continental, North Indian, Arabian",4.6
"Mediterranean, Cafe, European",4.2
"Mediterranean, Chinese, Continental",4.3
"Mediterranean, Continental",4.2
"Mediterranean, Continental, Italian",3.7
"Mediterranean, Continental, North Indian, Italian",3.5
"Mediterranean, European",3.1
"Mediterranean, European, American, North Indian",3.8
"Mediterranean, Italian",4.333333333
"Mediterranean, Italian, American",4.3
"Mediterranean, Italian, Continental, Spanish, North Indian",3.55
"Mediterranean, Italian, European",4.15
"Mediterranean, Italian, Thai, European",3.9
"Mediterranean, Mexican, North Indian, American",4.1
"Mediterranean, Mughlai, Thai, North Indian, Chinese",3.5
"Mediterranean, Seafood",4.4
"Mediterranean, Tapas, Vegetarian",4
"Mediterranean, Turkish",4.2
Mexican,3.636111111
"Mexican, American",4.2
"Mexican, American, Healthy Food",4.9
"Mexican, American, Italian",4.2
"Mexican, American, Tex-Mex",4.5
"Mexican, American, Tex-Mex, Burger",4.7
"Mexican, Fast Food",3.866666667
"Mexican, Grill",4.3
"Mexican, Italian",1.55
"Mexican, Italian, American",3.9
"Mexican, Italian, Fast Food",3.4
"Mexican, Italian, North Indian, Chinese",3.6
"Mexican, Italian, North Indian, Continental, Asian",3.3
"Mexican, Lebanese, Italian, Continental, Thai",3.1
"Mexican, North Indian",3.7
"Mexican, North Indian, European, Chinese, Italian",3.4
"Mexican, Southwestern, Sushi",4.2
"Mexican, Southwestern, Tex-Mex",4.2
"Mexican, Spanish",4.1
"Mexican, Tex-Mex",3.9
"Mexican, Vegetarian",4.5
"Middle Eastern, Arabian",4.2
"Middle Eastern, Mediterranean, North Indian",3.4
Mithai,1.626760563
"Mithai, Bakery",1.033333333
"Mithai, Bakery, North Indian",0
"Mithai, Bakery, Street Food",2.8
"Mithai, Bakery, Street Food, Chinese, South Indian",3
"Mithai, Beverages",3.4
"Mithai, Chinese",0.933333333
"Mithai, Chinese, Street Food",3.8
"Mithai, Fast Food",0.928571429
"Mithai, North Indian",2.016666667
"Mithai, North Indian, Chinese",2.9
"Mithai, North Indian, Chinese, Street Food",2.75
"Mithai, North Indian, South Indian",3.7
"Mithai, North Indian, South Indian, Chinese",3.2
"Mithai, North Indian, South Indian, Chinese, Bakery",3.3
"Mithai, North Indian, South Indian, Chinese, Fast Food",2.7
"Mithai, North Indian, South Indian, Chinese, Street Food",3
"Mithai, North Indian, South Indian, Chinese, Street Food, Bakery",0
"Mithai, North Indian, South Indian, Fast Food, Street Food, Chinese",3.8
"Mithai, North Indian, South Indian, Street Food",2.866666667
"Mithai, North Indian, South Indian, Street Food, Chinese",3.3
"Mithai, North Indian, Street Food",0
"Mithai, North Indian, Street Food, Chinese, South Indian, Indian",2.9
"Mithai, South Indian",3.3
"Mithai, South Indian, Chinese, Street Food",0
"Mithai, South Indian, Chinese, Street Food, North Indian",2.9
"Mithai, South Indian, Street Food",1.166666667
"Mithai, Street Food",1.893103448
"Mithai, Street Food, Chinese",2.95
"Mithai, Street Food, Fast Food",1.4
"Mithai, Street Food, North Indian",1.45
"Mithai, Street Food, North Indian, South Indian",0
"Mithai, Street Food, North Indian, South Indian, Chinese",2.7
"Mithai, Street Food, North Indian, South Indian, Chinese, Fast Food, Beverages",3.2
"Mithai, Street Food, South Indian, Chinese, North Indian",2.7
Modern Australian,2.9
"Modern Australian, Australian",4.4
Modern Indian,4.345454545
"Modern Indian, Asian",3.9
"Modern Indian, North Indian",4.35
Mughlai,1.56407767
"Mughlai, Afghani",2.8
"Mughlai, Biryani",2.5375
"Mughlai, Chinese",1.516666667
"Mughlai, Chinese, Cafe, BBQ, Cajun",3.6
"Mughlai, Chinese, North Indian",3.35
"Mughlai, Continental, Chinese",3.1
"Mughlai, Fast Food",1.34
"Mughlai, Fast Food, North Indian",2.4
"Mughlai, Hyderabadi",4.1
"Mughlai, Italian, Finger Food, Middle Eastern",3.3
"Mughlai, Lucknowi",4.9
"Mughlai, Lucknowi, Awadhi",3.1
"Mughlai, North Indian",2.091666667
"Mughlai, North Indian, Bengali, Continental",2.7
"Mughlai, North Indian, Chinese",2.983333333
"Mughlai, North Indian, South Indian",3.9
"Mughlai, Pakistani, North Indian",3.8
"Mughlai, Street Food",4.4
Naga,3.6
"Naga, Chinese",3.1
"Naga, Tibetan",3.4
"Naga, Tibetan, Chinese, Bakery",3
Nepalese,1.333333333
"Nepalese, Tibetan",0
New American,3.6
"New American, Tapas",4.6
North Eastern,1.85
"North Eastern, Continental, South Indian, Fast Food",3.5
"North Eastern, North Indian",3
"North Eastern, North Indian, Chinese",0
North Indian,1.67232906
"North Indian, Afghani",2.6
"North Indian, Afghani, Mughlai",4.3
"North Indian, American, Asian, Biryani",4.7
"North Indian, American, Chinese",4.1
"North Indian, American, Italian",2.8
"North Indian, Andhra, Chettinad, Bengali, Mughlai, Chinese",4.1
"North Indian, Andhra, Mughlai",3.7
"North Indian, Asian",4.2
"North Indian, Asian, Continental",3.475
"North Indian, Asian, European",3.95
"North Indian, Asian, Italian",4
"North Indian, Awadhi",0
"North Indian, Bengali",2.275
"North Indian, Beverages",2.7
"North Indian, Biryani",2.253333333
"North Indian, Biryani, Chinese",3
"North Indian, Biryani, Chinese, Fast Food",3.66
"North Indian, Biryani, Fast Food",2.6
"North Indian, Biryani, Fast Food, Chinese",2.7
"North Indian, Biryani, Mughlai",3.3
"North Indian, Cafe",3.4
"North Indian, Cafe, Italian, Mexican, Continental",3.8
"North Indian, Chinese",2.421722114
"North Indian, Chinese, Arabian",3.8
"North Indian, Chinese, Bakery",2.2
"North Indian, Chinese, Biryani",2.7
"North Indian, Chinese, Cafe",3.633333333
"North Indian, Chinese, Continental",3.036923077
"North Indian, Chinese, Continental, Desserts, Fast Food, Sandwich",3.8
"North Indian, Chinese, Continental, Fast Food",3.575
"North Indian, Chinese, Continental, Goan, Seafood",3.8
"North Indian, Chinese, Continental, Italian",3.608333333
"North Indian, Chinese, Continental, Italian, Burger",3.4
"North Indian, Chinese, Continental, Italian, Mexican",3.4
"North Indian, Chinese, Continental, Italian, Mexican, Lebanese",3.5
"North Indian, Chinese, Continental, Mediterranean, Asian",3.7
"North Indian, Chinese, Continental, Mughlai",1.7
"North Indian, Chinese, Continental, Pizza",3.7
"North Indian, Chinese, Continental, Rajasthani",4.5
"North Indian, Chinese, Continental, Seafood",3.4
"North Indian, Chinese, Continental, Thai",3.4
"North Indian, Chinese, Fast Food",2.720588235
"North Indian, Chinese, Fast Food, Cafe",3.9
"North Indian, Chinese, Fast Food, Desserts",2.9
"North Indian, Chinese, Fast Food, Mithai",2.9
"North Indian, Chinese, Fast Food, South Indian",2.9
"North Indian, Chinese, Fast Food, Street Food",3.15
"North Indian, Chinese, Finger Food",3.3
"North Indian, Chinese, Italian",3.125
"North Indian, Chinese, Italian, American, Middle Eastern",4.2
"North Indian, Chinese, Italian, Continental",3.5125
"North Indian, Chinese, Italian, Fast Food",2.9
"North Indian, Chinese, Italian, Finger Food",3.4
"North Indian, Chinese, Italian, Lebanese, Mexican",4
"North Indian, Chinese, Italian, Mediterranean",3.6
"North Indian, Chinese, Italian, Mexican",4
"North Indian, Chinese, Italian, Mexican, Lebanese",4
"North Indian, Chinese, Italian, Street Food, Desserts",4.3
"North Indian, Chinese, Italian, Thai",0
"North Indian, Chinese, Kashmiri",0
"North Indian, Chinese, Mediterranean",4.6
"North Indian, Chinese, Mediterranean, Asian, Continental",3.9
"North Indian, Chinese, Mexican, Beverages",3.8
"North Indian, Chinese, Mexican, Italian",4.4
"North Indian, Chinese, Mexican, Italian, Thai, Lebanese",4.4
"North Indian, Chinese, Mexican, Lebanese, Italian, Fast Food",2.5
"North Indian, Chinese, Mughlai",2.74
"North Indian, Chinese, Mughlai, Continental",3.5
"North Indian, Chinese, Mughlai, Fast Food",2.55
"North Indian, Chinese, Mughlai, Italian",3.8
"North Indian, Chinese, Mughlai, South Indian",3.1
"North Indian, Chinese, Raw Meats",3.05
"North Indian, Chinese, Seafood",3.4
"North Indian, Chinese, Seafood, Chettinad",3.5
"North Indian, Chinese, South Indian",1.938235294
"North Indian, Chinese, South Indian, Bakery",2.9
"North Indian, Chinese, South Indian, Chinese",3.7
"North Indian, Chinese, South Indian, Fast Food",2.69
"North Indian, Chinese, South Indian, Italian",3.9
"North Indian, Chinese, South Indian, Mithai",3.04
"North Indian, Chinese, South Indian, Seafood, Chettinad",3.65
"North Indian, Chinese, South Indian, Street Food, Fast Food, Mithai",3.4
"North Indian, Chinese, South Indian, Street Food, Mithai",2.4
"North Indian, Chinese, Sri Lankan",2.4
"North Indian, Chinese, Street Food",2.983333333
"North Indian, Chinese, Street Food, Fast Food",2.5
